Mon Dec 11 20:53:50 UTC 2023
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [12%@102,8%@102,9%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36C thermal@31.5C POM_5V_IN 1014/1414 POM_5V_GPU 0/0 POM_5V_CPU 162/344
RAM 1259/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [18%@204,12%@204,8%@204,10%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36.5C thermal@31C POM_5V_IN 1054/1402 POM_5V_GPU 0/0 POM_5V_CPU 162/338
RAM 1259/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [15%@204,11%@204,11%@204,13%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36C thermal@31.25C POM_5V_IN 1054/1391 POM_5V_GPU 0/0 POM_5V_CPU 162/332
RAM 1259/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [15%@307,11%@307,6%@307,5%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36C thermal@31.75C POM_5V_IN 1054/1381 POM_5V_GPU 0/0 POM_5V_CPU 162/327
RAM 1259/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [13%@102,10%@102,7%@102,8%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36C thermal@31.5C POM_5V_IN 1014/1370 POM_5V_GPU 0/0 POM_5V_CPU 162/322
RAM 1259/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@204,11%@204,5%@204,7%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36C thermal@31.75C POM_5V_IN 1014/1360 POM_5V_GPU 0/0 POM_5V_CPU 162/318
RAM 1260/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [13%@204,16%@204,12%@204,9%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36.5C thermal@31.5C POM_5V_IN 1014/1350 POM_5V_GPU 0/0 POM_5V_CPU 121/312
RAM 1260/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [14%@102,9%@102,7%@102,11%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36.5C thermal@31.25C POM_5V_IN 1014/1341 POM_5V_GPU 0/0 POM_5V_CPU 121/307
RAM 1260/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [14%@102,9%@102,6%@102,10%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36.5C thermal@31.5C POM_5V_IN 1014/1333 POM_5V_GPU 0/0 POM_5V_CPU 121/302
RAM 1260/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [13%@204,9%@204,7%@204,10%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36.5C thermal@31.5C POM_5V_IN 1014/1324 POM_5V_GPU 0/0 POM_5V_CPU 162/299
RAM 1260/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [14%@204,11%@204,8%@204,11%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@37C thermal@31.25C POM_5V_IN 1014/1317 POM_5V_GPU 0/0 POM_5V_CPU 162/295
RAM 1260/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@102,12%@102,9%@204,8%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36.5C thermal@31.25C POM_5V_IN 1014/1309 POM_5V_GPU 0/0 POM_5V_CPU 121/291
RAM 1260/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@204,11%@204,7%@204,11%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36.5C thermal@31.25C POM_5V_IN 1054/1303 POM_5V_GPU 0/0 POM_5V_CPU 162/288
RAM 1260/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [13%@204,11%@204,8%@204,8%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36.5C thermal@31.5C POM_5V_IN 1014/1296 POM_5V_GPU 0/0 POM_5V_CPU 162/285
RAM 1260/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [14%@204,13%@204,8%@204,10%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36.5C thermal@31.25C POM_5V_IN 1014/1290 POM_5V_GPU 0/0 POM_5V_CPU 162/282
RAM 1260/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [13%@204,13%@204,13%@204,11%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31.75C POM_5V_IN 1014/1284 POM_5V_GPU 0/0 POM_5V_CPU 162/279
RAM 1259/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [19%@307,11%@307,9%@307,14%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36.5C thermal@31.5C POM_5V_IN 1014/1278 POM_5V_GPU 0/0 POM_5V_CPU 162/277
