Sun Jan 14 14:27:52 UTC 2024
RAM 1759/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [76%@1132,10%@1132,100%@1132,7%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@45C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2689/2619 POM_5V_GPU 85/84 POM_5V_CPU 981/899
RAM 1753/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [14%@1132,3%@1132,100%@1132,3%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40.5C AO@50C thermal@42.75C POM_5V_IN 2394/2614 POM_5V_GPU 85/84 POM_5V_CPU 726/895
RAM 1706/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [72%@1132,11%@1132,100%@1132,1%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44.5C PMIC@100C GPU@41C AO@50.5C thermal@42.5C POM_5V_IN 3064/2623 POM_5V_GPU 85/84 POM_5V_CPU 1189/901
RAM 1738/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [20%@1132,3%@1132,100%@1132,3%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40C AO@50.5C thermal@42.25C POM_5V_IN 2436/2620 POM_5V_GPU 85/84 POM_5V_CPU 726/897
RAM 1756/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [3%@1132,62%@1132,100%@1132,2%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@45.5C PMIC@100C GPU@41C AO@50.5C thermal@42.25C POM_5V_IN 2855/2624 POM_5V_GPU 85/84 POM_5V_CPU 1149/902
RAM 1753/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [16%@1132,21%@1132,100%@1132,5%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2394/2620 POM_5V_GPU 85/84 POM_5V_CPU 726/899
RAM 1775/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [55%@1132,2%@1132,100%@1132,4%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@45C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2898/2625 POM_5V_GPU 85/84 POM_5V_CPU 1149/904
RAM 1694/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [35%@1132,4%@1132,100%@1132,4%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2436/2621 POM_5V_GPU 85/84 POM_5V_CPU 769/901
RAM 1748/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [3%@1132,2%@1132,100%@1132,45%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@40C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2813/2625 POM_5V_GPU 85/84 POM_5V_CPU 1150/906
RAM 1747/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [12%@1132,3%@1132,100%@1132,32%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.25C POM_5V_IN 2394/2621 POM_5V_GPU 85/84 POM_5V_CPU 726/903
RAM 1762/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [3%@1132,2%@1132,100%@1132,36%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.25C POM_5V_IN 2813/2624 POM_5V_GPU 85/84 POM_5V_CPU 1150/907
RAM 1699/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [12%@1132,30%@1132,100%@1132,13%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2689/2625 POM_5V_GPU 85/84 POM_5V_CPU 811/905
RAM 1745/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [4%@1132,29%@1132,100%@1132,1%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@45.5C PMIC@100C GPU@40.5C AO@51C thermal@42.5C POM_5V_IN 2813/2629 POM_5V_GPU 85/84 POM_5V_CPU 1108/909
RAM 1744/3964MB (lfb 6x2MB) SWAP 209/1982MB (cached 16MB) CPU [12%@1132,47%@1132,100%@1132,2%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@43C POM_5V_IN 2436/2625 POM_5V_GPU 85/84 POM_5V_CPU 769/906
RAM 1756/3964MB (lfb 6x2MB) SWAP 209/1982MB (cached 16MB) CPU [12%@1132,2%@1132,100%@1132,17%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2813/2628 POM_5V_GPU 85/84 POM_5V_CPU 1108/910
RAM 1766/3964MB (lfb 6x2MB) SWAP 209/1982MB (cached 16MB) CPU [14%@1132,10%@1132,100%@1132,61%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@45C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2770/2631 POM_5V_GPU 85/84 POM_5V_CPU 980/911
RAM 1693/3964MB (lfb 6x2MB) SWAP 209/1982MB (cached 16MB) CPU [4%@1132,2%@1132,100%@1132,1%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2436/2628 POM_5V_GPU 85/84 POM_5V_CPU 769/909
RAM 1753/3964MB (lfb 6x2MB) SWAP 209/1982MB (cached 16MB) CPU [4%@1132,3%@1132,100%@1132,74%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@45C PMIC@100C GPU@40.5C AO@50.5C thermal@43C POM_5V_IN 2394/2624 POM_5V_GPU 85/84 POM_5V_CPU 726/906
RAM 1748/3964MB (lfb 6x2MB) SWAP 209/1982MB (cached 16MB) CPU [4%@1132,11%@1132,100%@1132,1%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@45C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2397/2620 POM_5V_GPU 85/84 POM_5V_CPU 726/903
RAM 1768/3964MB (lfb 6x2MB) SWAP 209/1982MB (cached 16MB) CPU [4%@1132,74%@1132,100%@1132,1%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.75C POM_5V_IN 2436/2617 POM_5V_GPU 85/84 POM_5V_CPU 769/901
RAM 1709/3964MB (lfb 6x2MB) SWAP 209/1982MB (cached 16MB) CPU [15%@1132,4%@1132,100%@1132,10%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.75C POM_5V_IN 2689/2619 POM_5V_GPU 85/84 POM_5V_CPU 852/900
RAM 1753/3964MB (lfb 6x2MB) SWAP 209/1982MB (cached 16MB) CPU [71%@1132,4%@1132,100%@1132,3%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@45C PMIC@100C GPU@40.5C AO@51C thermal@42.5C POM_5V_IN 2813/2621 POM_5V_GPU 85/84 POM_5V_CPU 1108/903
RAM 1760/3964MB (lfb 6x2MB) SWAP 209/1982MB (cached 16MB) CPU [7%@1132,1%@1132,100%@1132,1%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2397/2618 POM_5V_GPU 85/84 POM_5V_CPU 726/900
RAM 1766/3964MB (lfb 6x2MB) SWAP 209/1982MB (cached 16MB) CPU [2%@1132,0%@1132,100%@1132,0%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@45C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2394/2615 POM_5V_GPU 85/84 POM_5V_CPU 726/898
RAM 1766/3964MB (lfb 6x2MB) SWAP 209/1982MB (cached 16MB) CPU [11%@1132,4%@1132,100%@1132,4%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44C PMIC@100C GPU@40.5C AO@50.5C thermal@42.75C POM_5V_IN 2394/2612 POM_5V_GPU 85/84 POM_5V_CPU 726/895
RAM 1703/3964MB (lfb 6x2MB) SWAP 209/1982MB (cached 16MB) CPU [76%@1132,3%@1132,100%@1132,3%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@45C PMIC@100C GPU@41C AO@50.5C thermal@42.75C POM_5V_IN 2603/2612 POM_5V_GPU 85/84 POM_5V_CPU 896/895
RAM 1753/3964MB (lfb 6x2MB) SWAP 209/1982MB (cached 16MB) CPU [14%@1132,8%@1132,100%@1132,2%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2436/2609 POM_5V_GPU 85/84 POM_5V_CPU 769/894
RAM 1770/3964MB (lfb 6x2MB) SWAP 209/1982MB (cached 16MB) CPU [4%@1132,4%@1132,100%@1132,58%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@40C CPU@45C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2855/2613 POM_5V_GPU 85/84 POM_5V_CPU 1150/897
RAM 1767/3964MB (lfb 6x2MB) SWAP 209/1982MB (cached 16MB) CPU [14%@1132,2%@1132,100%@1132,20%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2394/2610 POM_5V_GPU 85/84 POM_5V_CPU 726/895
RAM 1783/3964MB (lfb 6x2MB) SWAP 209/1982MB (cached 16MB) CPU [41%@1132,2%@1132,100%@1132,3%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@40C CPU@45C PMIC@100C GPU@40.5C AO@50.5C thermal@42.75C POM_5V_IN 2855/2613 POM_5V_GPU 85/84 POM_5V_CPU 1149/898
RAM 1691/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [51%@1132,8%@1132,100%@1132,4%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@40C CPU@45C PMIC@100C GPU@40.5C AO@50.5C thermal@42.75C POM_5V_IN 2603/2613 POM_5V_GPU 85/84 POM_5V_CPU 768/897
