Mon Dec 11 23:01:58 UTC 2023
RAM 1471/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [25%@1479,19%@1479,13%@1479,7%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@33.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31.5C POM_5V_IN 1988/1819 POM_5V_GPU 0/0 POM_5V_CPU 689/645
RAM 1471/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [17%@102,15%@102,14%@102,11%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36.5C thermal@31.5C POM_5V_IN 1054/1793 POM_5V_GPU 0/0 POM_5V_CPU 121/627
RAM 1471/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [24%@518,20%@518,10%@518,10%@518] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36.5C thermal@31C POM_5V_IN 1623/1787 POM_5V_GPU 0/0 POM_5V_CPU 284/616
RAM 1471/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [18%@204,20%@204,18%@102,10%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36.5C thermal@31C POM_5V_IN 1217/1769 POM_5V_GPU 0/0 POM_5V_CPU 202/602
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [23%@307,19%@307,16%@307,12%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31.25C POM_5V_IN 1298/1754 POM_5V_GPU 0/0 POM_5V_CPU 202/590
RAM 1471/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [19%@102,10%@102,9%@102,8%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36.5C thermal@31.5C POM_5V_IN 1136/1735 POM_5V_GPU 0/0 POM_5V_CPU 162/577
RAM 1471/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [20%@518,12%@518,12%@518,14%@518] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31.25C POM_5V_IN 1785/1737 POM_5V_GPU 0/0 POM_5V_CPU 324/569
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [20%@204,17%@204,13%@204,13%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36C thermal@31C POM_5V_IN 1095/1718 POM_5V_GPU 0/0 POM_5V_CPU 162/558
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [19%@102,11%@102,11%@102,12%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36.5C thermal@31.75C POM_5V_IN 1054/1700 POM_5V_GPU 0/0 POM_5V_CPU 162/547
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [20%@204,14%@204,12%@204,12%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31.25C POM_5V_IN 1339/1690 POM_5V_GPU 0/0 POM_5V_CPU 243/539
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [22%@102,11%@102,9%@102,6%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36.5C thermal@31.5C POM_5V_IN 1054/1673 POM_5V_GPU 0/0 POM_5V_CPU 121/528
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [24%@102,12%@102,10%@102,6%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31.75C POM_5V_IN 1136/1660 POM_5V_GPU 0/0 POM_5V_CPU 202/519
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@102,13%@102,7%@102,6%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30.5C AO@36.5C thermal@31.25C POM_5V_IN 1054/1644 POM_5V_GPU 0/0 POM_5V_CPU 121/509
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [18%@102,10%@102,8%@102,8%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31.5C POM_5V_IN 1014/1629 POM_5V_GPU 0/0 POM_5V_CPU 121/500
RAM 1468/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [20%@102,15%@102,9%@102,11%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36C thermal@31.5C POM_5V_IN 1095/1616 POM_5V_GPU 0/0 POM_5V_CPU 162/492
RAM 1468/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [20%@102,14%@102,7%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36.5C thermal@31.5C POM_5V_IN 1136/1605 POM_5V_GPU 0/0 POM_5V_CPU 162/484
RAM 1468/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [21%@1479,13%@1479,16%@1479,10%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36C thermal@31C POM_5V_IN 1582/1605 POM_5V_GPU 0/0 POM_5V_CPU 405/482
RAM 1468/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [24%@102,14%@102,11%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36C thermal@31.5C POM_5V_IN 1054/1592 POM_5V_GPU 0/0 POM_5V_CPU 121/474
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [20%@102,21%@102,10%@102,13%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31.5C POM_5V_IN 1054/1581 POM_5V_GPU 0/0 POM_5V_CPU 121/466
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [22%@102,17%@102,15%@102,10%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31.5C POM_5V_IN 1054/1569 POM_5V_GPU 0/0 POM_5V_CPU 162/460
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [25%@204,12%@204,8%@204,8%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36C thermal@32C POM_5V_IN 1054/1559 POM_5V_GPU 0/0 POM_5V_CPU 121/453
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [19%@102,8%@102,13%@102,13%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36C thermal@31.75C POM_5V_IN 1379/1555 POM_5V_GPU 0/0 POM_5V_CPU 202/448
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [25%@102,17%@102,12%@102,8%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31.5C POM_5V_IN 1054/1545 POM_5V_GPU 0/0 POM_5V_CPU 121/441
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [23%@102,16%@102,8%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31C POM_5V_IN 1054/1535 POM_5V_GPU 0/0 POM_5V_CPU 121/435
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [20%@307,15%@307,9%@307,6%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36C thermal@31C POM_5V_IN 1014/1525 POM_5V_GPU 0/0 POM_5V_CPU 162/430
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@102,12%@102,10%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31.5C POM_5V_IN 1014/1516 POM_5V_GPU 0/0 POM_5V_CPU 121/424
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [17%@307,14%@307,9%@307,7%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36C thermal@31.5C POM_5V_IN 1054/1507 POM_5V_GPU 0/0 POM_5V_CPU 162/419
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [18%@102,8%@102,7%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36C thermal@31C POM_5V_IN 1054/1499 POM_5V_GPU 0/0 POM_5V_CPU 121/414
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [19%@102,13%@102,11%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36C thermal@31.5C POM_5V_IN 1054/1491 POM_5V_GPU 0/0 POM_5V_CPU 121/408
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@102,12%@102,8%@102,8%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31C POM_5V_IN 1054/1483 POM_5V_GPU 0/0 POM_5V_CPU 121/403
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [19%@204,12%@204,8%@204,7%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36C thermal@31C POM_5V_IN 1501/1484 POM_5V_GPU 0/0 POM_5V_CPU 162/399
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [17%@204,16%@204,14%@204,11%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36C thermal@31.25C POM_5V_IN 1054/1476 POM_5V_GPU 0/0 POM_5V_CPU 121/394
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [17%@102,15%@102,9%@102,8%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36C thermal@31.5C POM_5V_IN 1095/1470 POM_5V_GPU 0/0 POM_5V_CPU 162/390
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [17%@204,13%@204,12%@204,13%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31.5C POM_5V_IN 1095/1464 POM_5V_GPU 0/0 POM_5V_CPU 162/387
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [13%@307,15%@307,12%@307,10%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36.5C thermal@31.5C POM_5V_IN 1136/1458 POM_5V_GPU 0/0 POM_5V_CPU 162/383
