current,power,timestamp,voltage
0.025,2200.0,1703116827,78.3
0.025,2600.0,1703116832,226.2
0.031,2100.0,1703116834,83.8
0.031,2000,1703116840,79.9
0.036,2800.0,1703116845,226.2
0.027,2200.0,1703116847,83.9
0.026,2100.0,1703116853,79
0.026,2600.0,1703116858,226.2
0.026,1900.0,1703116861,83.3
0.024,2000,1703116866,78.5
0.027,2500.0,1703116872,226.1
0.024,2000,1703116874,81.8
0.025,2000,1703116880,78.6
0.024,2700.0,1703116885,226.2
0.024,2100.0,1703116887,83.3
0.026,2100.0,1703116893,78.9
0.026,2700.0,1703116898,226.1
0.026,2000,1703116900,83.1
0.025,2100.0,1703116906,78.4
0.024,2900.0,1703116911,226.1
0.025,2000,1703116914,82.5
0.026,2000,1703116919,78.4
0.025,2000,1703116925,78.8
0.025,2400.0,1703116930,226.2
0.024,2000,1703116932,82.8
0.024,2000,1703116938,78.4
0.024,2400.0,1703116943,226.1
0.025,2000,1703116946,83.5
0.024,2000,1703116951,78.3
0.024,2500.0,1703116957,226.1
0.024,2000,1703116959,82.9
0.026,2000,1703116965,80.2
0.024,2700.0,1703116970,226.2
0.025,2000,1703116972,83.8
0.026,2000,1703116978,78.7
0.026,2000,1703116983,80.4
0.026,2300.0,1703116989,226.1
0.024,2100.0,1703116991,83.3
0.026,2000,1703116997,78.7
0.026,2400.0,1703117002,226.2
0.023,2000,1703117004,82.7
0.024,2000,1703117010,78.5
0.024,2400.0,1703117015,226.2
0.027,2000,1703117017,84.5
0.026,2000,1703117023,79
0.024,2400.0,1703117029,226.2
0.023,2000,1703117031,82.9
0.025,2000,1703117036,79
0.026,2000,1703117042,78.9
0.026,2600.0,1703117047,226.2
0.025,2000,1703117050,83.2
0.024,2000,1703117055,79.3
0.026,2600.0,1703117061,226.2
0.024,2000,1703117063,83.4
0.025,2000,1703117069,78.9
0.024,2400.0,1703117074,226.1
0.026,2000,1703117076,87.4
0.025,2000,1703117082,80.2
0.024,2600.0,1703117087,226.1
0.024,2000,1703117090,84.8
0.023,2000,1703117095,79.4
0.025,2000,1703117101,78.8
0.026,2900.0,1703117106,226.2
0.024,2000,1703117108,83.3
0.025,2000,1703117114,80.9
0.026,2400.0,1703117119,226.2
0.025,2100.0,1703117122,84.4
0.026,2000,1703117127,78.8
0.023,2300.0,1703117133,226.1
0.025,2000,1703117135,83.3
0.025,2000,1703117141,79
0.028,2400.0,1703117146,226.1
0.024,2000,1703117148,83.3
0.026,2000,1703117154,79.2
0.023,2400.0,1703117159,226.2
0.024,2000,1703117161,82.7
0.026,2000,1703117167,79.3
0.024,2400.0,1703117172,225.7
0.026,2000,1703117175,83
0.026,2000,1703117180,78.7
0.026,2500.0,1703117186,225.8
0.026,2000,1703117188,84.5
0.041,2000,1703117194,78.3
0.027,2000,1703117199,77.5
0.025,2400.0,1703117205,222.9
0.027,2000,1703117207,81
0.027,2000,1703117213,76.9
0.027,2400.0,1703117218,222.8
0.027,2100.0,1703117220,82.6
0.025,2000,1703117226,76.3
0.026,2400.0,1703117232,222.8
0.025,2000,1703117234,82.1
0.025,2000,1703117240,77.2
0.026,2300.0,1703117245,222.8
0.025,2000,1703117247,80.2
0.026,2000,1703117253,76.5
0.026,2300.0,1703117258,222.8
0.027,2000,1703117260,81.9
0.026,2000,1703117266,77.4
0.027,2400.0,1703117272,222.8
0.026,2000,1703117274,80.6
0.025,2000,1703117280,78.3
0.027,2400.0,1703117285,222.8
0.027,2000,1703117287,80.7
0.027,2000,1703117293,76.7
0.024,2400.0,1703117298,222.8
0.026,2000,1703117300,80.2
0.027,1900.0,1703117306,76.9
0.025,2600.0,1703117312,222.8
0.025,2000,1703117314,80.9
0.027,2000,1703117320,76.6
0.025,2500.0,1703117325,222.8
0.027,2000,1703117327,80.5
0.025,2100.0,1703117333,76.6
0.027,2400.0,1703117338,222.8
0.026,2000,1703117340,81.5
0.027,2000,1703117346,78.2
0.025,2500.0,1703117352,222.8
0.026,2000,1703117354,81.9
0.027,2000,1703117360,77.2
0.025,2400.0,1703117365,222.8
0.026,2000,1703117367,81.5
0.026,2000,1703117373,76.5
0.027,2500.0,1703117378,222.7
0.026,1900.0,1703117380,81.7
0.026,1900.0,1703117386,76.6
