Tue Dec 12 09:27:31 UTC 2023
RAM 1230/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [20%@102,16%@102,14%@102,17%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@37C thermal@32C POM_5V_IN 1014/1456 POM_5V_GPU 0/0 POM_5V_CPU 121/338
RAM 1230/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [17%@102,11%@102,6%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@37C thermal@32C POM_5V_IN 1014/1441 POM_5V_GPU 0/0 POM_5V_CPU 121/331
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [16%@102,13%@102,12%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@37C thermal@32C POM_5V_IN 1014/1427 POM_5V_GPU 0/0 POM_5V_CPU 121/324
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [18%@204,10%@204,9%@204,10%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@36.5C thermal@32.25C POM_5V_IN 1014/1414 POM_5V_GPU 0/0 POM_5V_CPU 121/318
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [16%@102,10%@102,7%@102,8%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@36.5C thermal@32C POM_5V_IN 1014/1402 POM_5V_GPU 0/0 POM_5V_CPU 121/312
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [13%@102,11%@102,9%@102,10%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@37C thermal@32C POM_5V_IN 1014/1391 POM_5V_GPU 0/0 POM_5V_CPU 81/305
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [17%@102,12%@102,9%@102,8%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@37C thermal@31.75C POM_5V_IN 1014/1380 POM_5V_GPU 0/0 POM_5V_CPU 121/300
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [13%@102,14%@102,7%@102,10%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@37C thermal@32C POM_5V_IN 1014/1370 POM_5V_GPU 0/0 POM_5V_CPU 121/295
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [16%@102,11%@102,8%@102,5%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@37C thermal@32.25C POM_5V_IN 1014/1360 POM_5V_GPU 0/0 POM_5V_CPU 121/290
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [16%@102,10%@102,7%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@37C thermal@32.25C POM_5V_IN 1054/1352 POM_5V_GPU 0/0 POM_5V_CPU 121/286
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [18%@102,10%@102,10%@102,13%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@37C thermal@32C POM_5V_IN 1095/1346 POM_5V_GPU 0/0 POM_5V_CPU 121/282
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [18%@102,13%@102,5%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@37C thermal@32.25C POM_5V_IN 1014/1337 POM_5V_GPU 0/0 POM_5V_CPU 121/277
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [16%@102,10%@102,6%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@37C thermal@32.25C POM_5V_IN 1014/1329 POM_5V_GPU 0/0 POM_5V_CPU 121/274
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [18%@102,11%@102,6%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@37C thermal@32C POM_5V_IN 1014/1322 POM_5V_GPU 0/0 POM_5V_CPU 121/270
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [15%@307,10%@307,8%@307,5%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@37C thermal@31.75C POM_5V_IN 1054/1316 POM_5V_GPU 0/0 POM_5V_CPU 162/267
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [17%@102,10%@102,8%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@37C thermal@32.25C POM_5V_IN 1339/1316 POM_5V_GPU 0/0 POM_5V_CPU 162/265
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [18%@102,13%@102,7%@102,13%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@37C thermal@32.25C POM_5V_IN 1054/1310 POM_5V_GPU 0/0 POM_5V_CPU 121/262
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [18%@102,11%@102,7%@102,11%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@37C thermal@32.75C POM_5V_IN 1014/1304 POM_5V_GPU 0/0 POM_5V_CPU 162/260
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [22%@102,16%@102,9%@102,6%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@37C thermal@32.25C POM_5V_IN 1054/1299 POM_5V_GPU 0/0 POM_5V_CPU 162/258
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [19%@102,10%@102,6%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@32.5C PMIC@100C GPU@31C AO@37C thermal@32.25C POM_5V_IN 1014/1293 POM_5V_GPU 0/0 POM_5V_CPU 121/255
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [19%@102,10%@102,11%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@37C thermal@32.25C POM_5V_IN 1054/1288 POM_5V_GPU 0/0 POM_5V_CPU 121/252
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [14%@102,11%@102,7%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@36.5C thermal@32.25C POM_5V_IN 1014/1282 POM_5V_GPU 0/0 POM_5V_CPU 121/249
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [21%@102,11%@102,11%@102,10%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@32.5C PMIC@100C GPU@31.5C AO@37C thermal@32C POM_5V_IN 1054/1278 POM_5V_GPU 0/0 POM_5V_CPU 121/247
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [20%@102,10%@102,8%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@37C thermal@32C POM_5V_IN 1014/1273 POM_5V_GPU 0/0 POM_5V_CPU 121/244
